Timestamp,What's your age range?,Which best describes you right now?,What's your gender? (optional),What's your general location? (optional),Do you currently drink alcohol?,"In a typical week, about how many alcoholic drinks do you have?",How often do you drink each of these? [Wine],How often do you drink each of these? [Beer],How often do you drink each of these? [Spirits or cocktails],How often do you drink each of these? [Hard seltzer or ready-to-drink cocktails],How often do you drink each of these? [Cider],How often do you drink each of these? [Non-alcoholic alternatives],How often do you drink each of these? [Other],"Just to confirm, do you currently drink wine?",What's the main reason you don't drink?,What's the main reason you stopped drinking?,Why doesn't wine make your rotation?,"In a typical month, where do you usually drink?","Overall, how particular or picky are you about the wine you drink?",How often do you drink wine?,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Grape variety or style],Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Region or terroir],Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Winery or brand reputation],Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Price],Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Recommendations],Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Sustainability certification],Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Other],"If you ranked ""Other,"" what was it?",Which single factor most often decides which bottle you actually pick up?,Where do you usually buy wine? (select all that apply),"Think about the last time you really enjoyed a glass of wine, which of these were part of what made it good? Check up to three.","Still thinking about that time, tell us about it: where were you, what was the wine, what else do you remember?",Have you visited Sonoma or Napa wine country in the last 2 years?,What's your overall impression of Sonoma or Napa as a place to buy or drink wine?,"What, if anything, keeps you from visiting Sonoma or Napa more often? (select all that apply)","Compared to 3 years ago, how has your wine drinking changed?",What has taken up that space instead? (select all that apply),What are factors that influence your wine drinking choice? (select all that apply),Would you be willing to do a short follow-up interview about your wine habits?,Email or phone number
2026-08-07 00:14:22.135000,30-39,Young professional,Prefer not to say,SF Bay Area,Yes,7-14,About monthly,Most of what I drink,About weekly,Never,Never,About monthly,,Yes,,,,,Not particular at all,About monthly or less,Rank 1 (most important),,,Rank 3,Rank 2,,,,Grape variety or style,Grocery store,"The company, The wine itself, A special occasion",I was home after just moving In with my partner. We opened a wine we bought while on vacation to celebrate the move.,Yes,Somewhat negative,"Cost, Don't know where to start or who to visit, It’s overhyped and overpriced",A little less,Beer,"Social and peer influence, Enjoy the taste",No,
2026-08-07 05:47:22.037000,25-29,Young professional,Woman,SF Bay Area,Yes,3-6,About weekly,About weekly,About monthly,About monthly,Occasionally,Occasionally,,Yes,,,,,Somewhat particular,About weekly,Rank 1 (most important),Rank 2,Rank 3,Rank 1 (most important),Rank 2,Rank 3,,,Grape variety or style,"Grocery store, Specialty wine or liquor store, Restaurant or bar","The company, The place or view, Good value for the price",A cold vinho verde was recommended to me by an employee at a high end grocery store. I brought it to share with a friend I was visiting and it paired well with the food and we shared a lovely time outside catching up. Each of us only had about a glass and a half but really enjoyed it.,Yes,Somewhat negative,"Don't know where to start or who to visit, Some places too touristy / crowded",A little less,Beer,"Social and peer influence, Cultural zeitgeist, Enjoy the taste",Yes,"[contact kept local, see contacts-local file]"
2026-08-07 12:20:06.701000,50+,Seasoned professional,Man,Elsewhere in the US,Yes,1-2,Occasionally,Occasionally,Never,Never,Occasionally,Occasionally,,Yes,,,,,Somewhat particular,About weekly,Rank 2,Rank 3,,Rank 1 (most important),,,,,Price,Specialty wine or liquor store,The food,,No,Very positive,"Distance or travel time, Cost",A little less,Nothing in particular,Enjoy the taste,No,
2026-08-07 12:21:44.494000,40-49,Seasoned professional,Man,SF Bay Area,Yes,0 to 1,About monthly,About weekly,Never,Never,Never,Occasionally,,Yes,,,,,Not particular at all,About monthly or less,Rank 1 (most important),,,Rank 2,Rank 3,,,,Grape variety or style,Grocery store,"The company, The place or view, A special occasion",Wine tasting in Napa with family,Yes,Very positive,Time or scheduling,A little less,Beer,,Yes,"[contact kept local, see contacts-local file]"
2026-08-07 12:28:32.132000,40-49,Seasoned professional,Woman,SF Bay Area,"No, but I used to",,,,,,,,,,,Health reasons,,,,,,,,,,,,,,,,,Yes,Very positive,"Distance or travel time, Time or scheduling",A little less,"Non-alcoholic beverages, Nothing in particular",Health and wellness,No,
2026-08-07 12:29:18.390000,40-49,Seasoned professional,Woman,SF Bay Area,Yes,1-2,About weekly,Most of what I drink,About monthly,Occasionally,About monthly,Occasionally,Never,Yes,,,,,Somewhat particular,About weekly,Rank 2,,,Rank 3,Rank 1 (most important),,,,"A recommendation (friend, staff, sommelier)",Grocery store,"The company, A special occasion, Relaxing or unwinding",Pet bat from donkey and goat because my friends recommended it and I was saving it for a relaxing evening,No,Somewhat positive,"Cost, Time or scheduling, Sounds crowded",A little less,"Beer, Non-alcoholic beverages","Health and wellness, Social and peer influence, Enjoy the taste",Yes,"[contact kept local, see contacts-local file]"
2026-08-07 12:30:50.013000,30-39,Seasoned professional,Woman,SF Bay Area,Yes,0 to 1,Occasionally,Never,Occasionally,Never,Occasionally,Occasionally,Never,"No, rarely or never",,,Drinking socially so rarely drink at home,"At restaurants or bars, At friends' or family's homes, At parties, weddings, or other events",,,,,,,,,,,,,,,Yes,Very positive,"Distance or travel time, Time or scheduling",A lot less,"Spirits or cocktails, Non-alcoholic beverages","I like wine but I also like cocktails, which are my go to when I go out",No,
2026-08-07 13:03:03.246000,40-49,Seasoned professional,Man,SF Bay Area,"No, but I used to",,,,,,,,,,,Don't like the taste or effects,,,,,,,,,,,,,,,,,Yes,Somewhat positive,don't drink,About the same,Non-alcoholic beverages,"Health and wellness, Social and peer influence, N/A (I don't drink wine)",Yes,"[contact kept local, see contacts-local file]"
2026-08-07 13:08:00.026000,40-49,Older and wiser,Woman,SF Bay Area,Yes,1-2,Occasionally,About weekly,Occasionally,Never,Never,Most of what I drink,,Yes,,,,,Somewhat particular,About monthly or less,,Rank 1 (most important),,Rank 3,,Rank 2,,,Region or terroir,"Grocery store, Specialty wine or liquor store, Restaurant or bar","The company, The wine itself, Relaxing or unwinding",,No,Somewhat positive,Distance or travel time,A lot less,"Beer, Non-alcoholic beverages, Sparkling water","Health and wellness, More natural wine / I get headaches",No,
2026-08-07 13:13:18.708000,40-49,Graduate student,Woman,SF Bay Area,Yes,0 to 1,Occasionally,Occasionally,Never,Never,Never,Most of what I drink,,Yes,,,,,Somewhat particular,About monthly or less,Rank 1 (most important),,Rank 3,Rank 2,,,,,Grape variety or style,"Winery tasting room or wine club, Specialty wine or liquor store, Restaurant or bar, Wine club or subscription","The wine itself, The food, Relaxing or unwinding",Napa Valley and enjoying a food tasting along with the wine.,Yes,Very positive,Time or scheduling,A little more,Non-alcoholic beverages,"Social and peer influence, Enjoy the taste",No,
