respondent_id,question_id,question_text,answer
R1,S1,Timestamp,2026-08-07 00:14:22.135000
R1,S2,What's your age range?,30-39
R1,S3,Which best describes you right now?,Young professional
R1,S4,What's your gender? (optional),Prefer not to say
R1,S5,What's your general location? (optional),SF Bay Area
R1,S6,Do you currently drink alcohol?,Yes
R1,S7,"In a typical week, about how many alcoholic drinks do you have?",7-14
R1,S8,How often do you drink each of these? [Wine],About monthly
R1,S9,How often do you drink each of these? [Beer],Most of what I drink
R1,S10,How often do you drink each of these? [Spirits or cocktails],About weekly
R1,S11,How often do you drink each of these? [Hard seltzer or ready-to-drink cocktails],Never
R1,S12,How often do you drink each of these? [Cider],Never
R1,S13,How often do you drink each of these? [Non-alcoholic alternatives],About monthly
R1,S15,"Just to confirm, do you currently drink wine?",Yes
R1,S20,"Overall, how particular or picky are you about the wine you drink?",Not particular at all
R1,S21,How often do you drink wine?,About monthly or less
R1,S22,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Grape variety or style],Rank 1 (most important)
R1,S25,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Price],Rank 3
R1,S26,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Recommendations],Rank 2
R1,S30,Which single factor most often decides which bottle you actually pick up?,Grape variety or style
R1,S31,Where do you usually buy wine? (select all that apply),Grocery store
R1,S32,"Think about the last time you really enjoyed a glass of wine, which of these were part of what made it good? Check up to three.","The company, The wine itself, A special occasion"
R1,S33,"Still thinking about that time, tell us about it: where were you, what was the wine, what else do you remember?",I was home after just moving In with my partner. We opened a wine we bought while on vacation to celebrate the move.
R1,S34,Have you visited Sonoma or Napa wine country in the last 2 years?,Yes
R1,S35,What's your overall impression of Sonoma or Napa as a place to buy or drink wine?,Somewhat negative
R1,S36,"What, if anything, keeps you from visiting Sonoma or Napa more often? (select all that apply)","Cost, Don't know where to start or who to visit, It’s overhyped and overpriced"
R1,S37,"Compared to 3 years ago, how has your wine drinking changed?",A little less
R1,S38,What has taken up that space instead? (select all that apply),Beer
R1,S39,What are factors that influence your wine drinking choice? (select all that apply),"Social and peer influence, Enjoy the taste"
R1,S40,Would you be willing to do a short follow-up interview about your wine habits?,No
R2,S1,Timestamp,2026-08-07 05:47:22.037000
R2,S2,What's your age range?,25-29
R2,S3,Which best describes you right now?,Young professional
R2,S4,What's your gender? (optional),Woman
R2,S5,What's your general location? (optional),SF Bay Area
R2,S6,Do you currently drink alcohol?,Yes
R2,S7,"In a typical week, about how many alcoholic drinks do you have?",3-6
R2,S8,How often do you drink each of these? [Wine],About weekly
R2,S9,How often do you drink each of these? [Beer],About weekly
R2,S10,How often do you drink each of these? [Spirits or cocktails],About monthly
R2,S11,How often do you drink each of these? [Hard seltzer or ready-to-drink cocktails],About monthly
R2,S12,How often do you drink each of these? [Cider],Occasionally
R2,S13,How often do you drink each of these? [Non-alcoholic alternatives],Occasionally
R2,S15,"Just to confirm, do you currently drink wine?",Yes
R2,S20,"Overall, how particular or picky are you about the wine you drink?",Somewhat particular
R2,S21,How often do you drink wine?,About weekly
R2,S22,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Grape variety or style],Rank 1 (most important)
R2,S23,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Region or terroir],Rank 2
R2,S24,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Winery or brand reputation],Rank 3
R2,S25,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Price],Rank 1 (most important)
R2,S26,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Recommendations],Rank 2
R2,S27,Rank the top 3 factors that matter most when you choose a wine (1 = most important) [Sustainability certification],Rank 3
R2,S30,Which single factor most often decides which bottle you actually pick up?,Grape variety or style
R2,S31,Where do you usually buy wine? (select all that apply),"Grocery store, Specialty wine or liquor store, Restaurant or bar"
R2,S32,"Think about the last time you really enjoyed a glass of wine, which of these were part of what made it good? Check up to three.","The company, The place or view, Good value for the price"
R2,S33,"Still thinking about that time, tell us about it: where were you, what was the wine, what else do you remember?",A cold vinho verde was recommended to me by an employee at a high end grocery store. I brought it to share with a friend I was visiting and it paired well with the food and we shared a lovely time outside catching up. Each of us only had about a glass and a half but really enjoyed it.
R2,S34,Have you visited Sonoma or Napa wine country in the last 2 years?,Yes
R2,S35,What's your overall impression of Sonoma or Napa as a place to buy or drink wine?,Somewhat negative
R2,S36,"What, if anything, keeps you from visiting Sonoma or Napa more often? (select all that apply)","Don't know where to start or who to visit, Some places too touristy / crowded"
R2,S37,"Compared to 3 years ago, how has your wine drinking changed?",A little less
R2,S38,What has taken up that space instead? (select all that apply),Beer
R2,S39,What are factors that influence your wine drinking choice? (select all that apply),"Social and peer influence, Cultural zeitgeist, Enjoy the taste"
R2,S40,Would you be willing to do a short follow-up interview about your wine habits?,Yes
R3,S1,Timestamp,2026-08-07 12:20:06.701000
R3,S2,What's your age range?,50+
R3,S3,Which best describes you right now?,Seasoned professional
R3,S4,What's your gender? (optional),Man
R3,S5,What's your general location? (optional),Elsewhere in the US
R3,S6,Do you currently drink alcohol?,Yes
R3,S7,"In a typical week, about how many alcoholic drinks do you have?",1-2
R3,S8,How often do you drink each of these? [Wine],Occasionally
R3,S9,How often do you drink each of these? [Beer],Occasionally
