interview_id,interview_date,org,interviewee,role,module,ran_by,capture_mode,question_id,question_text,answer_verbatim,source_note,flags
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W1,"W1. How do this year's total sales and cases sold compare with three years ago, and which moved more?",Sales grew more,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W2,"W2. Over those same three years, what happened to your tasting-room visits and to what an average visitor spends?",Both up,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W3,"W3. How has your wine club changed over three years, in both the number of members and the share who renew each year?","Members up, renewals down",2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W4,"W4. Who buys your wine today, and how is that different from three years ago?",Little change,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W5,"W5. Have you had club members or regular buyers cancel or drift away recently? If so, what did they tell you when they left?",Some churn,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W6,"W6. In the last two years, have you changed any prices, run discounts, or changed your tasting fee? For each change, what happened to volume or visits afterward?",No changes,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W7,"W7. What have you tried in the last three years to bring in sales or new customers? For each thing, roughly what did it cost, what happened, and are you still doing it?",New varieties,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W8,"W8. For any lesser-known grapes or unusual bottlings you make, how do their sell-through and margin compare with your flagship, and who buys them?",About the same,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W9,"W9. What share of your revenue is direct versus wholesale, how has that share moved over three years, and what happened to total revenue as it shifted?",Direct share up,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W10,"W10. Which wineries do you notice doing best right now, whatever their size, and what do you see them doing differently?",DTC-focused,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W11,"W11. Since the 2025 crush, have you changed where you get your fruit, bought any grapes on the spot market, or renegotiated contracts?",No changes,2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,W12,"W12. When customers talk to you about their wine buying, what do they say? Tell me about the last few conversations.","Price/value, Quality, Brand loyalty",2026-08-04-greater-fool-wine-notes.md,
GF-2026-08-04,2026-08-04,Greater Fool Wine,not recorded,Winemaker,1,self-completed,form-self,EXTRA,"What have you tried or innovated recently? Tell us in your own words about any new approaches, experiments, or ideas you've put into practice.","We have strived to deliver a wine that is truly a great value. Putting the vineyards first and taking unique approaches to ensure each wine has its own identity. We use an Austrian oak barrel for our Sauvignon Blanc, similar to French oak but less expensive. We co-ferment red varietals like Charbono and Petite Sirah, harkening back to the old ways in Napa. Our Cabernet Sauvignon is picked with freshness and balance in mind.",2026-08-04-greater-fool-wine-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W1,"W1. How do this year's total sales and cases sold compare with three years ago, and which moved more?","About him: Can provide perspective on tasting roomand working with the company. Numbers he sees is not on distribution end but in winery but experiencing smaller aounts of visits. It fluctuates. Been tehre 4 years and every year their membership continues to grow 1074 club members - which is a trend up. When the clubs run - when people are on the fence /loose a few but then it climbs up again. Where most wineries 

Gregg captures a lot of sales over the phoen for those out of state

Phone outreach and barn 

Their wine maker is outstanding and their wines are very reasonable proced - best bank for the buck and that's what he thinks is getting them so strng

From his contacts he sees that wineries sales are dipping and membership is dipping but doesn't know why for those particlar places

There are some wineries that closed up shop - had great wines but high proces. All the closures happened within the last year",2026-07-29-highway-12-notes.md,date from form submission timestamp
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W2,"W2. Over those same three years, what happened to your tasting-room visits and to what an average visitor spends?","Tasting room visits have been a little bit slower than when he started. But some days are very high. It fluctuates. Have a little bit of a lull. Not seeing a huge dip. Their sales are so strong

He can get back to us with some numbers - typically customers do more than just a tasting - most also buy something or join the club. Overall experience is that they have the experience of great wine at a great price. Had multiple customer - anything from 1-3 cases",2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W3,"W3. How has your wine club changed over three years, in both the number of members and the share who renew each year?",As above,2026-07-29-highway-12-notes.md,cross-ref: club numbers sit in the W1 cell
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W4,"W4. Who buys your wine today, and how is that different from three years ago?","Lots of loyal members. <Most have been with them for a long time and getting new ones. Who buys our wine: distribution in costco for over 20 years. Even though giving away margin it's great exposiure

average client 50+ - long term older people

Heard that younger people not drinking wine today and that's also what he sees",2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W5,"W5. Have you had club members or regular buyers cancel or drift away recently? If so, what did they tell you when they left?","Loose members because of health reasons, medication they are on, serious health event, some moved to places where they don't deliver - Canada or UK but for the most part it's people that they are getting too much. Not usually if they were disappointed with the winery or the wine itself. He hears a lot that members cancelled other clubs because the average bottle proce is higher but they don't cancel them because of teh value",2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W6,"W6. In the last two years, have you changed any prices, run discounts, or changed your tasting fee? For each change, what happened to volume or visits afterward?",Specials on a monthly basis - sometimes an in house special - need to come into the atsting room within an 100m radius on a monthly basis that is done by management. Also special projects. - selling futures of cap frank over the phone with a special discount and they get a lot of referrals too. Doing that a lot now than when he first started - that's probably one of the reasons. When they send an email with the discounted price they get the discounted price. Sometimes complimentary shipping,2026-07-29-highway-12-notes.md,
H12-2026-07-29,2026-07-29,Highway 12,not recorded,Tasting-room or DTC manager,1,Alexa Kornau,form-live,W7,"W7. What have you tried in the last three years to bring in sales or new customers? For each thing, roughly what did it cost, what happened, and are you still doing it?","Doing a lot more marketing direct to the consumer. When he first started not doing any phone marketing and weren't doing an email marketing and doing a lot of that now and it's increased sales 

Email campaign - the emails don't cost anything but the employee. doing any type of outreach is covered by the marketing person

When he does phoen sales he gets hourly and commission. But the outside marketing companyw as a lot more expensive. Taken it in house and that is significantly cheaper

They had started using vinorpo around covid 

A lot of club members had points and many didn't even know. once the owner saw that he could move wine over the phome and started an active campaign with Gregg to do more phone work and he created a new club (communal club) that put the customer in control of what type of wine came to them

Used to have 2 tasting rooms Highway 12 and Highway man - had a club at each one. The winery picked the wine they just sleected it for you (never white wine) trailblizer label only from Highway men club wines which is only a 5th. With the communal they can pick from the whole portfolio and you can reduce shipping by adding more bottles (6 bottles half shipping), 12 bottles no shipping",2026-07-29-highway-12-notes.md,
