year,color,tons,price_per_ton_usd,avg_brix
2000,white,1502696.4,499.99,22.1
2000,red,1815810.2,627.97,22.7
2001,white,1299736.8,490.88,22.5
2001,red,1708402.5,678.50,23.4
2002,white,1287865.3,431.43,22.3
2002,red,1816715.6,613.33,23.6
2003,white,1230255.2,428.88,21.8
2003,red,1633540.9,608.60,23.4
2004,white,1136236.4,487.47,22.5
2004,red,1638658.1,626.69,23.8
2005,white,1520571.9,506.37,22.0
2005,red,2234594.5,633.48,23.3
2006,white,1262542.2,503.56,22.4
2006,red,1873891.9,636.55,24.0
2007,white,1372108.8,481.59,22.3
2007,red,1875367.7,626.48,23.7
2008,white,1346043.8,539.93,22.6
2008,red,1715376.7,648.05,23.9
2009,white,1624909.9,535.55,22.5
2009,red,2078121.1,670.54,23.6
2010,white,1537835.5,501.25,22.1
2010,red,2050742.6,627.57,23.4
2011,white,1426905.4,542.41,21.8
2011,red,1920035.9,706.77,22.9
2012,white,1725689.1,625.30,22.3
2012,red,2292200.5,883.62,23.7
2013,white,1828512.6,622.86,22.5
2013,red,2416378.2,851.12,24.2
2014,white,1754502.6,595.61,22.8
2014,red,2138293.7,892.06,24.5
2015,white,1663789.9,540.24,22.5
2015,red,2040780.6,789.46,24.4
2016,white,1752553.6,598.07,22.3
2016,red,2278593.1,918.34,24.3
2017,white,1765424.0,587.73,21.8
2017,red,2248259.5,965.54,24.3
2018,white,1833754.7,634.84,22.0
2018,red,2447929.5,1019.03,24.4
2019,white,1762084.8,589.54,22.0
2019,red,2157061.4,1019.56,24.5
2020,white,1590634.4,558.30,21.4
2020,red,1820251.9,795.39,23.9
2021,white,1600507.7,674.98,22.0
2021,red,2031241.5,1071.69,24.3
2022,white,1474090.3,683.20,21.7
2022,red,1902044.1,1169.90,24.2
2023,white,1712583.3,733.54,21.5
2023,red,1972249.0,1345.68,24.1
2024,white,1401048.3,713.88,22.2
2024,red,1464532.2,1339.82,24.8
2025,white,1324464.7,706.10,22.0
2025,red,1301690.0,1280.66,24.0
