year,type,bearing_acres,non_bearing_acres,total_acres
2000,wine,458000,110000,568000
2001,wine,480000,90000,570000
2002,wine,486000,70000,556000
2003,wine,479000,50000,529000
2004,wine,473000,40000,513000
2005,wine,477000,45000,522000
2006,wine,480000,47000,527000
2007,wine,480000,43000,523000
2008,wine,482000,44000,526000
2009,wine,489000,42000,531000
2010,wine,497000,38000,535000
2011,wine,506000,37000,543000
2012,wine,550000,38000,588000
2013,wine,565000,45000,610000
2014,wine,565000,50000,615000
2015,wine,560000,48000,608000
2016,wine,560000,42000,602000
2017,wine,560000,39000,599000
2018,wine,590000,47000,637000
2019,wine,590000,45000,635000
2020,wine,580000,40000,620000
2021,wine,575000,40000,615000
2022,wine,575000,40000,615000
2023,wine,570000,40000,610000
2024,wine,550000,40000,590000
2025,wine,510000,30000,540000
