year,color,variety,bearing_acres,non_bearing_acres,total_acres,tons,price_per_ton_usd,value_usd
2000,white,Chardonnay,13394,2702,16096,69478,1961.84,136305000
2000,white,Chenin Blanc,54,0,54,439,603.92,265000
2000,white,French Colombard,186,0,186,1154,562.10,648700
2000,white,Gewurztraminer,216,0,216,694,1264.72,877300
2000,white,Muscat Blanc,39,0,39,123,1721.77,212300
2000,white,Pinot Blanc,70,0,70,522,1607.08,838700
2000,white,Sauvignon Blanc,1650,448,2098,8781,1395.87,12256437
2000,white,Semillon,161,34,195,797,1444.10,1150659
2000,white,Viognier,189,22,211,497,2140.27,1062858
2000,white,White Riesling,44,0,44,112,1489.36,166808
2000,white,Other Whites,282,318,600,1166,1614.97,1882571
2000,red,Cabernet Franc,523,151,674,2097,2226.53,4668600
2000,red,Cabernet Sauvignon,7328,3688,11016,32772,2417.96,79240400
2000,red,Carignane,196,1,197,766,1391.55,1065400
2000,red,Merlot,6564,1058,7622,31480,2019.29,63566200
2000,red,Meunier,129,17,146,637,2069.27,1318700
2000,red,Napa Gamay,84,0,84,195,1143.58,222500
2000,red,Petite Sirah,280,86,366,1073,2127.81,2284000
2000,red,Petite Verdot,86,77,163,282,2176.29,614000
2000,red,Pinot Noir,4973,3631,8604,17520,2094.39,36692700
2000,red,Sangiovese,281,68,349,1791,1859.57,3331000
2000,red,Syrah-Shiraz,559,371,930,3349,2171.65,7272000
2000,red,Zinfandel,4478,665,5143,13223,2143.10,28337800
2000,red,Other Reds,455,319,774,1844,2036.69,3755200
2001,white,Chardonnay,13358,2400,15758,52853,1908.77,100883900
2001,white,Chenin Blanc,37,0,37,225,661.50,149200
2001,white,French Colombard,143,0,143,795,573.81,456500
2001,white,Gewürztraminer,168,7,176,481,1487.17,715800
2001,white,Muscat Blanc,36,1,37,176,982.19,172700
2001,white,Pinot Blanc,73,24,97,323,1790.41,578400
2001,white,Sauvignon Blanc,1710,399,2109,8267,1509.56,12479100
2001,white,Semillon,185,11,196,667,1604.60,1070500
2001,white,Viognier,198,23,220,474,2171.94,1029500
2001,white,White Riesling,28,0,28,96,1782.15,170400
2001,white,Other Whites,376,363,739,1515,1784.97,2703700
2001,red,Cabernet Franc,503,137,640,2309,2424.10,5597300
2001,red,Cabernet Sauvignon,7937,4018,11955,32194,2698.66,86881500
2001,red,Carignane,182,2,184,587,1529.01,896800
2001,red,Merlot,6414,962,7376,27879,2136.86,59573800
2001,red,Meunier,111,3,114,566,1983.57,1122200
2001,red,Napa Gamay,91,0,91,149,1289.12,192600
2001,red,Petite Sirah,293,90,383,1007,2379.44,2395900
2001,red,Petite Verdot,78,92,171,308,2408.91,743000
2001,red,Pinot Noir,5811,4554,10365,20861,2219.03,46290600
2001,red,Sangiovese,366,70,436,1376,2020.35,2779600
2001,red,Syrah-Shiraz,824,856,1680,4195,2260.98,9483700
2001,red,Zinfandel,4145,885,5030,14287,2456.58,35096500
2001,red,Other Reds,523,180,703,1995,1962.80,3914800
2002,white,Chardonnay,13857,1861,15718,60844,1730.46,105288000
2002,white,Chenin Blanc,37,0,37,200,655.29,131000
2002,white,French Colombard,143,0,143,634,575.25,364800
2002,white,Gewürztraminer,168,9,177,465,1367.46,635900
2002,white,Muscat Blanc,36,1,37,100,1956.13,196200
2002,white,Pinot Blanc,73,34,107,334,1869.08,623600
2002,white,Sauvignon Blanc,1710,519,2229,9612,1524.57,14654100
2002,white,Semillon,185,23,208,786,1752.45,1378200
2002,white,Viognier,198,22,220,606,2162.62,1310600
2002,white,White Riesling,28,0,28,74,2025.30,149700
2002,white,Other Whites,319,440,759,1667,1495.26,2492000
2002,red,Cabernet Franc,560,118,678,1928,2532.25,4881000
2002,red,Cabernet Sauvignon,9018,3125,12143,32258,2694.93,86933400
2002,red,Carignane,188,3,191,499,1562.64,779300
2002,red,Merlot,6698,712,7410,29037,1965.47,57072000
2002,red,Meunier,109,3,112,427,2164.26,923100
2002,red,Napa Gamay,49,0,49,94,1089.40,102300
2002,red,Petite Sirah,313,83,397,1084,2534.18,2746100
2002,red,Petite Verdot,87,86,174,309,2560.45,790700
2002,red,Pinot Noir,6434,3821,10255,19571,2131.66,41718800
2002,red,Sangiovese,386,66,453,1792,2048.31,3670400
2002,red,Syrah-Shiraz,1040,717,1758,5424,2254.26,12228100
2002,red,Zinfandel,4300,828,5128,13385,2494.52,33388200
2002,red,Other Reds,651,832,1483,2011,2436.88,4901300
2003,white,Chardonnay,14605,1136,15741,46825,1574.65,73733500
2003,white,Chenin Blanc,29,0,29,170,650.33,110700
2003,white,French Colombard,101,0,101,359,555.23,199200
2003,white,Gewürztraminer,151,6,158,347,1206.79,418600
2003,white,Muscat Blanc,28,1,29,34,1966.56,66100
2003,white,Pinot Blanc,60,45,105,274,1887.22,517100
2003,white,Sauvignon Blanc,1872,540,2412,9199,1447.83,13318200
2003,white,Semillon,168,16,183,756,1808.88,1367900
2003,white,Viognier,214,15,229,513,1862.18,955900
2003,white,White Riesling,27,7,34,60,2172.63,130200
2003,white,Other Whites,477,196,673,1368,1747.15,2389400
2003,red,Cabernet Franc,612,75,687,1813.20,2580.74,4679400
2003,red,Cabernet Sauvignon,10554,1682,12237,36471.40,2537.94,92562300
2003,red,Carignane,183,3,186,397.50,1718.81,683300
2003,red,Merlot,7027,402,7429,20917.50,1768.89,37000800
2003,red,Meunier,109,13,122,572.60,2060.14,1179700
2003,red,Napa Gamay,42,0,42,51.60,1060.86,54800
2003,red,Petite Sirah,357,55,412,1194.30,2503.94,2990500
2003,red,Petite Verdot,144,31,175,400.10,2676.19,1070800
2003,red,Pinot Noir,8328,1784,10113,18759.10,2011.54,37734700
2003,red,Sangiovese,407,33,440,1374.20,2040.91,2804700
2003,red,Syrah-Shiraz,1359,433,1792,5666.20,2060.09,11672900
2003,red,Zinfandel,4504,607,5111,11561.30,2334.96,26995200
2003,red,Other Reds,816,718,1535,1684.90,2152.29,3626400
2004,white,Chardonnay,13651.2,2000.5,15651.7,53180.3,1576.16,83820700
2004,white,French Colombard,101.1,0.0,101.1,311.2,529.16,164700
2004,white,Gewürztraminer,145.3,14.2,159.5,424.9,1292.17,549100
2004,white,Muscat Blanc,23.8,1.0,24.8,34.3,2170.17,74500
2004,white,Pinot Blanc,45.1,44.9,90.0,360.9,1712.79,618200
2004,white,Pinot Gris,287.4,80.7,368.1,1094.2,1569.08,1716900
2004,white,Sauvignon Blanc,1831.3,710.6,2541.9,7623.4,1423.85,10854600
2004,white,Semillon,165.5,15.6,181.1,538.0,1869.14,1005600
2004,white,Viognier,194.8,27.8,222.6,405.4,1979.50,802500
2004,white,White Riesling,27.4,7.5,34.9,69.4,2017.62,140100
2004,white,Other Whites,199.7,342.4,542.1,677.6,1321.46,824800
2004,red,Cabernet Franc,603.1,87.2,690.2,1692.1,2498.88,4228400
2004,red,Cabernet Sauvignon,10216.0,1910.2,12126.2,30561.3,2397.71,73277200
2004,red,Carignane,185.7,9.1,194.8,418.9,1477.99,619200
2004,red,Malbec,206.5,67.0,273.5,430.5,2419.96,1041800
2004,red,Merlot,6873.0,518.4,7391.4,22855.2,1663.90,38028800
2004,red,Meunier,109.0,14.0,123.0,471.3,1951.39,919700
2004,red,Petite Sirah,356.0,93.0,449.0,1256.0,2445.12,3071100
2004,red,Petite Verdot,134.6,37.1,171.6,444.8,2685.95,1194800
2004,red,Pinot Noir,8061.6,2074.9,10136.5,22672.7,1974.75,44773000
2004,red,Sangiovese,336.1,33.2,369.3,1107.2,2195.35,2430700
2004,red,Syrah-Shiraz,1321.7,497.9,1819.6,5849.8,2041.91,11944800
2004,red,Zinfandel,4429.3,732.6,5161.9,11783.2,2301.63,27120600
2004,red,Other Reds,505.3,734.6,1239.9,1520.2,2557.90,2888400
2005,white,Chardonnay,14409.8,1666.4,16076.1,73824.6,1592.54,117568700
2005,white,French Colombard,97.6,0.0,97.6,292.4,593.99,173700
2005,white,Gewürztraminer,154.8,12.3,167.1,358.9,1369.20,491500
2005,white,Muscat Blanc,19.8,0.0,19.8,57.0,2165.08,123500
2005,white,Pinot Blanc,85.6,19.0,104.6,404.4,1675.19,677500
2005,white,Pinot Gris,359.9,29.2,389.1,1339.5,1607.73,2153600
2005,white,Sauvignon Blanc,2228.6,505.8,2734.3,12708.9,1435.22,18240100
2005,white,Semillon,175.6,15.1,190.7,598.5,1953.64,1169300
2005,white,Viognier,238.9,24.7,263.6,554.7,2099.50,1164600
2005,white,White Riesling,29.0,6.0,35.0,93.1,2045.04,190400
2005,white,Other Whites,269.8,367.3,637.1,734.5,1169.64,859100
2005,red,Cabernet Franc,701.4,64.8,766.2,2318.8,2506.83,5812900
2005,red,Cabernet Sauvignon,11791.6,875.4,12667.0,45577.2,2305.27,105067800
2005,red,Carignane,189.3,8.8,198.1,440.6,1888.61,832200
2005,red,Malbec,249.3,36.1,285.4,731.8,2496.31,1826800
2005,red,Merlot,7137.8,315.6,7453.4,31656.3,1591.72,50388000
2005,red,Meunier,119.0,13.0,132.0,332.2,1991.00,661500
2005,red,Petite Sirah,418.1,63.4,481.5,2125.4,2293.95,4875600
2005,red,Petite Verdot,162.8,18.4,181.2,634.6,2608.88,1655600
2005,red,Pinot Noir,9887.7,1228.9,11116.6,26944.3,2128.99,57364200
2005,red,Sangiovese,318.4,6.8,325.2,1528.5,1797.84,2748000
2005,red,Syrah-Shiraz,1788.7,268.9,2057.6,7959.4,2145.47,17076700
2005,red,Zinfandel,5326.6,504.8,5831.4,17866.5,2306.54,41209800
2005,red,Other Reds,890.6,723.5,1614.0,1827.6,1260.29,2303300
2006,white,Chardonnay,14071.8,1696.4,15768.2,61986.2,1725.98,106987000
2006,white,French Colombard,90.7,0.0,90.7,352.3,550.70,194100
2006,white,Gewürztraminer,152.2,4.9,157.1,458.6,1537.11,705000
2006,white,Muscat Blanc,18.6,0.3,18.9,49.0,2025.60,99300
2006,white,Pinot Blanc,85.6,19.0,104.6,375.9,1641.50,617100
2006,white,Pinot Gris,369.8,83.0,452.8,1813.2,1794.95,3254700
2006,white,Sauvignon Blanc,2143.4,402.1,2545.5,13461.2,1448.86,19503400
2006,white,Semillon,158.4,0.0,158.4,650.0,2049.64,1332300
2006,white,Viognier,250.5,22.2,272.7,629.9,2206.26,1389800
2006,white,White Riesling,29.2,6.0,35.2,82.0,2353.06,193000
2006,white,Other Whites,186.8,43.1,229.9,742.4,1463.90,1086800
2006,red,Cabernet Franc,679.7,59.2,738.9,1664.9,2395.21,3987800
