year,total_tons,total_value_usd,price_per_ton_usd,bearing_acres,non_bearing_acres,total_acres,notes
2000,190789,389853900,2043.38,42221,13656,55877,Source: 2001 report's 2000 comparison column (2000 report itself has no text layer/is a scan). Bearing+NonBearing=Total reconciles exactly.
2001,173583,374389700,2156.83,43589,15076,58665,2001's own report; cross-validated against 2002 report's 2001 comparison column (exact match).
2002,183139,376422300,2055.39,46587,13304,59891,2002's own report; cross-validated against 2003 report's 2002 comparison column (exact match).
2003,160768.1,313076600,1947.38,52176,7797,59973,2003's own report; cross-validated against 2004 report's 2003 comparison column (exact match).
2004,165782.8,309871300,1869.14,50010.4,10054.4,60064.8,2004's own report; cross-validated against 2005 report's 2004 comparison column (exact match).
2005,230909.7,430563500,1864.64,57050.4,5095.6,62146.0,"Used reconciled total acres (Bearing+NonBearing=62,146.0), matching Fruit & Nut Summary page (57,050 bearing / 5,096 non-bearing / 62,146 total) in the same report. The Winegrape Production table's own printed 'Total' acreage figure (63,824.6) does not equal Bearing+NonBearing and is internally inconsistent; Fruit & Nut Summary figure used as primary."
2006,216247.5,433379900,1990.76,55507.2,4795.2,60302.4,Source: 2007 report's 2006 comparison column (own 2006 report not separately fetched). Both tons and value carry a '*revised' marker in the 2007 report. Bearing+NonBearing=Total reconciles exactly.
2007,198532.8,416549600,2081.27,54862.3,6029.8,60892.1,"2007's own report, Winegrape Production table (preferred per methodology). NOTE: the same report's Fruit & Nut Summary page shows bearing acres as 54,899 (vs 54,862.3 in the Winegrape Production table), a ~37-acre internal inconsistency within the same report; Winegrape Production table used as primary."
2008,168992.0,381092000,2237.75,55431.4,6540.2,61971.6,2008's own report; cross-validated against 2007 report and internally consistent (Bearing+NonBearing=Total).
2009,212674.6,460771200,2186.61,56306.0,6601.1,62907.2,Source: 2010 report's 2009 comparison column. Bearing+NonBearing=Total reconciles (rounding to 62,907.2).
2010,191981.0,390448300,2033.79,56522.2,3137.3,59659.5,"2010's own report, Winegrape Production table (preferred). NOTE: the 2011 report's comparison column for 2010 shows revised tons (191,999.4*) and value ($387,848,615*), explicitly marked 'Revised from 2010', a source-acknowledged post-hoc revision; 2010's own contemporaneous figures used as primary here."
2011,166618.8,347080290,2083.08,57809.6,2077.8,59887.4,"2011's own report, Winegrape Production table (preferred). NOTE: the same report's Fruit & Nut Summary page shows bearing acres as 58,057 (vs 57,809.6 in the Winegrape Production table), a ~247-acre internal inconsistency within the same report; Winegrape Production table used as primary."
2012,267061.6,582942100,2182.8,58890.4,2862.1,61752.5,"Source: 2013 report's 2012 comparison column, which matches the Fruit & Nut Summary of both the 2012 and 2013 reports. NOTE: 2012's own report shows materially different RED acreage (Bearing 38,763.9 / Non-Bearing 442.4 / Total 39,206.4 vs 39,568.7 / 1,951.3 / 41,520.0 in the 2013 report's comparison column); tons/price/value identical in both vintages, only acreage differs. The 2014 report explicitly notes 'All Acreage Information Revised for 2012.' The later, revised figures are used as primary."
2013,270609.1,605068400,2235.95,59771.7,4301.5,64073.3,2013's own report; cross-validated against 2014 report's 2013 comparison column (exact match).
2014,255635.4,592798000,2318.92,58280.4,4370.2,62650.6,2014's own report; internally consistent with Fruit & Nut Summary and Fruit & Nut Acreage Summary pages in the same report. (Note: an earlier draft flagged a $2,236/ton figure on the summary page; re-checked and the Winegrape Production table's $2,318.92/ton is used as primary per methodology.)
2015,182784.5,446538900,2442.98,58235.5,3900.6,62136.1,"Source: 2016 report's 2015 comparison column (recovered via variety-anchored extraction because the report's whites table renders column-major in plain-text extraction; acreage and tonnage validated via Bearing+Non-Bearing=Total and Value/Tons checks). NOTE: summing TOTAL ALL REDS and TOTAL ALL WHITES component values for 2015 yields about $449.85M, roughly $3.3M above the stated TOTAL WINEGRAPES value of $446,538,900, even though acreage and tonnage sum exactly; likely a source-side weighted-average rounding artifact. Stated total used as primary."
2016,226441.6,586517700,2590.15,60008.5,2101.3,62019.8,2016's own report (recovered via variety-anchored extraction due to column-major layout in plain-text rendering); cross-validated exactly against 2017 report's 2016 comparison column.
2017,206097.2,578312900,2806.02,59971.6,2494.3,62465.9,"2017's own report. NOTE: summing TOTAL ALL REDS + TOTAL ALL WHITES component values yields about $581.7M, roughly $3.4M above the stated total, though acreage/tonnage reconcile exactly; same rounding/weighting artifact pattern as 2015. Stated total used as primary."
2018,275976.9,777675300,2817.9,59894.2,2887.8,62782.0,2018's own report; internally consistent with Fruit & Nut Summary in the same report (Bearing 59,894 / Tons 275,977 / Value $777,675,300).
2019,229811.5,654020500,2845.9,57539.0,1787.0,59326.0,2019's own report; cross-validated against 2020 report's 2019 comparison column (exact match).
2020,148085.1,357511500,2414.23,56828.0,2045.0,58873.0,"2020's own report; cross-validated against 2021 report's 2020 comparison column (exact match). NOTE: the Fruit & Nut Summary page in both the 2020 report and the 2021 report's 2020-comparison column states Grapes(wine) value as $351,511,500, a $6,000,000 discrepancy vs. the Winegrape Production table's own TOTAL WINEGRAPES value of $357,511,500 used here (likely a 5/7 digit transposition in the source PDF, appearing identically in two report vintages). Winegrape Production table used as primary."
2021,206011.2,540954500,2625.85,57078.0,1593.0,58671.0,2021's own report; cross-validated against 2022 report's 2021 comparison column (exact match).
2022,190864.8,547709400,2869.62,57010.0,1598.0,58608.0,2022's own report; cross-validated against 2023 report's 2022 comparison column (exact match).
2023,240937.7,716818600,2975.12,57518.0,1324.0,58842.0,2023's own report; cross-validated against 2024 report's 2023 comparison column (exact match).
2024,211511.6,626550200,2962.15,57020.0,1282.0,58302.0,2024's own report (most recent available; no 2025 report published yet to cross-check).
